source_url,normalized_url,clicks,impressions,ctr,position
https://encuentratucoach.es/buscar-coach-en-bilbao/,https://encuentratucoach.es/buscar-coach-en-bilbao,0,9,0.0,80.78
https://encuentratucoach.es/coaching-de-carrera-profesional-como-elegir-rumbo-cambiar-de-trabajo-y-negociar/,https://encuentratucoach.es/coaching-de-carrera-profesional-como-elegir-rumbo-cambiar-de-trabajo-y-negociar,0,9,0.0,13.89
https://encuentratucoach.es/muchas_gracias/,https://encuentratucoach.es/muchas_gracias,0,9,0.0,5.67
https://encuentratucoach.es/pregunta-a-un-coach/como-se-si-necesito-un-coach/,https://encuentratucoach.es/pregunta-a-un-coach/como-se-si-necesito-un-coach,0,9,0.0,39.11
https://encuentratucoach.es/mi-cuentaa/login/,https://encuentratucoach.es/mi-cuentaa/login,0,7,0.0,12.57
https://encuentratucoach.es/resolucion-de-conflictos-en-el-trabajo-tecnicas-y-role-plays-de-coaching/,https://encuentratucoach.es/resolucion-de-conflictos-en-el-trabajo-tecnicas-y-role-plays-de-coaching,0,5,0.0,35.0
https://encuentratucoach.es/especialidades/liderazgo/malaga/,https://encuentratucoach.es/especialidades/liderazgo/malaga,0,3,0.0,6.33
https://encuentratucoach.es/formulario/,https://encuentratucoach.es/formulario,0,3,0.0,4.0
https://encuentratucoach.es/especialidades/deportivo/,https://encuentratucoach.es/especialidades/deportivo,0,2,0.0,7.0
https://encuentratucoach.es/especialidades/personas-con-discapacidad/,https://encuentratucoach.es/especialidades/personas-con-discapacidad,0,2,0.0,6.5
https://encuentratucoach.es/mi-cuentaa/dashboard/,https://encuentratucoach.es/mi-cuentaa/dashboard,0,2,0.0,7.5
https://encuentratucoach.es/especialidades/gestion-del-cambio/madrid/,https://encuentratucoach.es/especialidades/gestion-del-cambio/madrid,0,1,0.0,4.0
https://encuentratucoach.es/especialidades/salud-mental/,https://encuentratucoach.es/especialidades/salud-mental,0,1,0.0,12.0
https://encuentratucoach.es/especialidades/vida/zaragoza/,https://encuentratucoach.es/especialidades/vida/zaragoza,0,1,0.0,14.0
