normalized_url,gsc_source_url,spider_source_url,in_gsc,in_spider,clicks,impressions,ctr,position,status_code,content_type,indexability,indexability_status,canonical_url,meta_robots,x_robots_tag,title,meta_description,h1,word_count,internal_links,unique_internal_links,redirect_url,redirect_type,structured_data,hreflang
https://encuentratucoach.es/que-es-el-coaching-y-para-que-sirve-guia-clara-con-ejemplos-reales,https://encuentratucoach.es/que-es-el-coaching-y-para-que-sirve-guia-clara-con-ejemplos-reales/,,YES,NO,2,87,0.023,31.89,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/el-camino-hacia-el-exito-personal-con-coaching-en-espana,https://encuentratucoach.es/el-camino-hacia-el-exito-personal-con-coaching-en-espana/,,YES,NO,2,52,0.0385,13.08,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/mayte-garcia-caneiro,https://encuentratucoach.es/coaches/mayte-garcia-caneiro/,https://encuentratucoach.es/coaches/mayte-garcia-caneiro,YES,YES,2,24,0.0833,8.96,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/mayte-garcia-caneiro,,,Mayte García Caneiro | Carrera en España | EncuentraTuCoach,Mayte García Caneiro ofrece carrera en España. Ideal para personas que buscan carrera con foco en estoy especializada en orientación profesional.. Sesiones o…,Mayte García Caneiro,776,14,5,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/portal-de-coaches,https://encuentratucoach.es/portal-de-coaches/,,YES,NO,1,353,0.0028000000000000004,10.87,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/membresia-para-coaches,https://encuentratucoach.es/membresia-para-coaches/,,YES,NO,1,134,0.0075,6.22,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaching-en-espana-potencia-crecimiento,https://encuentratucoach.es/coaching-en-espana-potencia-crecimiento/,,YES,NO,1,77,0.013000000000000001,10.82,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/iniciar_sesion,https://encuentratucoach.es/iniciar_sesion/,,YES,NO,1,76,0.0132,3.33,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/page/3,https://encuentratucoach.es/coaches/page/3/?filter=true&s=Bilbao&et_blog,,YES,NO,1,59,0.0169,8.93,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches_category/mujeres-emprendedoras,https://encuentratucoach.es/coaches_category/mujeres-emprendedoras/,,YES,NO,1,49,0.0204,8.67,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/daniel-rios-serrano,https://encuentratucoach.es/coaches/daniel-rios-serrano/,https://encuentratucoach.es/coaches/daniel-rios-serrano,YES,YES,1,16,0.0625,7.88,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/daniel-rios-serrano,,,Daniel Rios Serrano | Fitness en Madrid | EncuentraTuCoach,Daniel Rios Serrano ofrece fitness en Madrid. Ideal para personas que buscan fitness con foco en nutrición y entrenamientos.. Sesiones online. Precio desde 4…,Daniel Rios Serrano,750,18,7,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/especialidades/fitness/barcelona,https://encuentratucoach.es/especialidades/fitness/barcelona/,,YES,NO,1,13,0.07690000000000001,32.62,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/gestion-del-estres-con-coaching-tecnicas-limites-y-habitos-que-funcionan,https://encuentratucoach.es/gestion-del-estres-con-coaching-tecnicas-limites-y-habitos-que-funcionan/,,YES,NO,1,9,0.11109999999999999,29.33,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/especialidades/auto-disciplina,https://encuentratucoach.es/especialidades/auto-disciplina/,,YES,NO,1,5,0.2,9.0,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/mi-cuentaa/navigation,https://encuentratucoach.es/mi-cuentaa/navigation/,,YES,NO,1,4,0.25,18.5,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/ana-isabel-marin-jodar,https://encuentratucoach.es/coaches/ana-isabel-marin-jodar,https://encuentratucoach.es/coaches/ana-isabel-marin-jodar,YES,YES,1,1,1.0,2.0,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/ana-isabel-marin-jodar,,,Ana Isabel Marín Jodar | Coach en barcelona | EncuentraTuCoach,Ana Isabel Marín Jodar ofrece confianza en sí mismo en barcelona. Ideal para personas que buscan confianza en sí mismo con foco en coach para la ansiedad.. S…,Ana Isabel Marín Jodar,1117,18,7,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/categoria/personal,https://encuentratucoach.es/coaches/categoria/personal,https://encuentratucoach.es/coaches/categoria/personal,YES,YES,0,920,0.0,77.69,200,text/html; charset=utf-8,Indexable,,,,,Buscar coaching personal en España | EncuentraTuCoach,"Busca coaches de desarrollo personal en España por ciudad, modalidad y precio. Compara perfiles y elige mejor.",Coaching personal para objetivos concretos y accionables,721,224,204,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches,https://encuentratucoach.es/coaches,https://encuentratucoach.es/coaches/,YES,YES,0,319,0.0,72.32,308,,No indexable,Redirigido,,,,,,,0,5,5,https://encuentratucoach.es/coaches,Redirección HTTP,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaching-para-emprendedores-en-que-ayuda-y-como-elegir-el-coach-adecuado,https://encuentratucoach.es/coaching-para-emprendedores-en-que-ayuda-y-como-elegir-el-coach-adecuado/,https://encuentratucoach.es/coaching-para-emprendedores-en-que-ayuda-y-como-elegir-el-coach-adecuado,YES,YES,0,177,0.0,75.03,308,,No indexable,Redirigido,,,,,,,0,0,0,https://encuentratucoach.es/blog/coaching-para-emprendedores-en-que-ayuda-y-como-elegir-el-coach-adecuado,Redirección HTTP,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/tania-perez/page/3,https://encuentratucoach.es/coaches/tania-perez/page/3/?et_blog,,YES,NO,0,108,0.0,9.44,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/inmaculada-martinez-sanchis,https://encuentratucoach.es/coaches/inmaculada-martinez-sanchis/,,YES,NO,0,107,0.0,14.09,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/erick-moran,https://encuentratucoach.es/coaches/erick-moran/,https://encuentratucoach.es/coaches/erick-moran,YES,YES,0,106,0.0,8.81,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/erick-moran,,,Erick Moran | Carrera en barcelona | EncuentraTuCoach,Erick Moran ofrece carrera en barcelona. Ideal para personas que buscan carrera con foco en coaching inclusivo: he integrado mi preocupación por la equidad y…,Erick Moran,771,22,9,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/cristina-santos-aviles,https://encuentratucoach.es/coaches/cristina-santos-aviles/,https://encuentratucoach.es/coaches/cristina-santos-aviles,YES,YES,0,100,0.0,31.01,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/cristina-santos-aviles,,,Cristina Santos Avilés | Espiritual en Madrid | EncuentraTuCoach,Cristina Santos Avilés ofrece espiritual en Madrid. Ideal para personas que buscan espiritual con foco en 🔹 crecimiento personal y espiritual 🔹 autoconocim…,Cristina Santos Avilés,937,18,7,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/aviso-legal-y-terminos-y-condiciones,https://encuentratucoach.es/aviso-legal-y-terminos-y-condiciones/,,YES,NO,0,79,0.0,12.66,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/politica-de-privacidad,https://encuentratucoach.es/politica-de-privacidad/,,YES,NO,0,79,0.0,6.1,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/blog,https://encuentratucoach.es/blog,https://encuentratucoach.es/blog,YES,YES,0,76,0.0,59.22,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/blog,,,Blog | EncuentraTuCoach,"Guías, comparativas y contenido SEO sobre coaching en España.",Blog de coaching en España,298,409,204,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/buscar-coach-en-valencia,https://encuentratucoach.es/buscar-coach-en-valencia/,https://encuentratucoach.es/buscar-coach-en-valencia,YES,YES,0,68,0.0,28.32,308,,No indexable,Redirigido,,,,,,,0,0,0,https://encuentratucoach.es/coaches/ciudad/valencia,Redirección HTTP,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches_category/espiritual,https://encuentratucoach.es/coaches_category/espiritual/,,YES,NO,0,66,0.0,2.83,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/registrarse,https://encuentratucoach.es/registrarse/,,YES,NO,0,65,0.0,3.82,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/planes-miembros,https://encuentratucoach.es/planes-miembros/,,YES,NO,0,64,0.0,5.33,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/politica-de-cookies-ue,https://encuentratucoach.es/politica-de-cookies-ue/,,YES,NO,0,64,0.0,10.78,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/daniel-miskiewicz,https://encuentratucoach.es/coaches/daniel-miskiewicz/,https://encuentratucoach.es/coaches/daniel-miskiewicz,YES,YES,0,63,0.0,24.35,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/daniel-miskiewicz,,,Daniel Miskiewicz | Deportivo en Madrid | EncuentraTuCoach,Daniel Miskiewicz ofrece deportivo en Madrid. Ideal para personas que buscan deportivo con foco en estrés precompetitivo- presión excesiva- miedo al fracaso-…,Daniel Miskiewicz,852,20,8,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/marta,https://encuentratucoach.es/coaches/marta,https://encuentratucoach.es/coaches/marta,YES,YES,0,60,0.0,68.07,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/marta,,,MARTA | Bienestar en PAMPLONA | EncuentraTuCoach,MARTA ofrece bienestar en PAMPLONA. Ideal para personas que buscan bienestar con foco en acompañamiento en crisis.. Sesiones online. Precio desde 50 €.,MARTA,700,67,32,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/marca-personal-como-construirla-con-coaching-sin-postureo,https://encuentratucoach.es/marca-personal-como-construirla-con-coaching-sin-postureo/,,YES,NO,0,56,0.0,34.41,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches_category/confianza-en-si-mismo,https://encuentratucoach.es/coaches_category/confianza-en-si-mismo/,https://encuentratucoach.es/coaches_category/confianza-en-si-mismo,YES,YES,0,54,0.0,3.74,308,,No indexable,Redirigido,,,,,,,0,0,0,https://encuentratucoach.es/coaches/categoria/confianza-en-si-mismo,Redirección HTTP,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/cuanto-dura-un-proceso-de-coaching-sesiones-frecuencia-y-senales-de-progreso,https://encuentratucoach.es/cuanto-dura-un-proceso-de-coaching-sesiones-frecuencia-y-senales-de-progreso/,,YES,NO,0,50,0.0,8.32,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/plataformas-para-trabajar-como-coach,https://encuentratucoach.es/plataformas-para-trabajar-como-coach,https://encuentratucoach.es/plataformas-para-trabajar-como-coach,YES,YES,0,35,0.0,45.17,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/plataformas-para-trabajar-como-coach,,,Plataformas para trabajar como coach | EncuentraTuCoach,"Comparativa práctica de plataformas para coaches: criterios de visibilidad, calidad de leads, coste real de captación y señales de confianza.",Plataformas para trabajar como coach,424,206,204,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/sobre-nosotros,https://encuentratucoach.es/sobre-nosotros,https://encuentratucoach.es/sobre-nosotros,YES,YES,0,32,0.0,61.12,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/sobre-nosotros,,,Sobre nosotros | EncuentraTuCoach,"Conoce el propósito de EncuentraTuCoach: ayudar a encontrar coach en España con filtros útiles, confianza y contacto directo.",Sobre EncuentraTuCoach,356,204,204,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/category/blog/page/3,https://encuentratucoach.es/category/blog/page/3/,,YES,NO,0,31,0.0,6.13,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaching-en-espana,https://encuentratucoach.es/coaching-en-espana/,https://encuentratucoach.es/coaching-en-espana,YES,YES,0,27,0.0,5.93,308,,No indexable,Redirigido,,,,,,,0,0,0,https://encuentratucoach.es/coaches,Redirección HTTP,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/almudena-ortega-minguito,https://encuentratucoach.es/coaches/almudena-ortega-minguito,https://encuentratucoach.es/coaches/almudena-ortega-minguito,YES,YES,0,25,0.0,9.08,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/almudena-ortega-minguito,,,Almudena Ortega Minguito | Coach en barcelona | EncuentraTuCoach,Almudena Ortega Minguito ofrece personas con discapacidad en barcelona. Ideal para personas que buscan personas con discapacidad con foco en aceptación tras…,Almudena Ortega Minguito,924,18,7,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/descubre-como-el-coaching-en-espana-puede-transformar-tu-vida,https://encuentratucoach.es/descubre-como-el-coaching-en-espana-puede-transformar-tu-vida/,,YES,NO,0,25,0.0,9.88,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/pregunta-a-un-coach,https://encuentratucoach.es/pregunta-a-un-coach,https://encuentratucoach.es/pregunta-a-un-coach,YES,YES,0,24,0.0,71.04,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/pregunta-a-un-coach,,,Preguntas sobre coaching y cómo elegir coach | EncuentraTuCoach,"Resuelve dudas sobre coaching, precio, modalidad online y cómo elegir coach. Explora preguntas reales y da el siguiente paso hacia el directorio.",Preguntas sobre coaching antes de elegir coach,371,107,101,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/natalia-tabella,https://encuentratucoach.es/coaches/natalia-tabella/,https://encuentratucoach.es/coaches/natalia-tabella,YES,YES,0,22,0.0,7.64,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/natalia-tabella,,,Natalia Tabella | Bienestar en barcelona | EncuentraTuCoach,Natalia Tabella ofrece bienestar en barcelona. Ideal para personas que buscan bienestar con foco en autoestima.. Sesiones online y presencial. Precio desde 1…,Natalia Tabella,999,26,11,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/diego-martinez,https://encuentratucoach.es/coaches/diego-martinez,https://encuentratucoach.es/coaches/diego-martinez,YES,YES,0,21,0.0,4.14,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/diego-martinez,,,Diego Martinez | Liderazgo en barcelona | EncuentraTuCoach,Diego Martinez ofrece liderazgo en barcelona. Ideal para personas que buscan liderazgo con foco en liderazgo de equipos.. Sesiones online y presencial. Preci…,Diego Martinez,651,22,9,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaching-que-es,https://encuentratucoach.es/coaching-que-es/,,YES,NO,0,20,0.0,7.1,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/gestion-del-tiempo-metodo-simple-y-como-un-coach-lo-convierte-en-habitos,https://encuentratucoach.es/gestion-del-tiempo-metodo-simple-y-como-un-coach-lo-convierte-en-habitos/,,YES,NO,0,17,0.0,10.71,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/contacto,https://encuentratucoach.es/contacto,https://encuentratucoach.es/contacto,YES,YES,0,16,0.0,59.44,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/contacto,,,Contacto | EncuentraTuCoach,"Contacta con EncuentraTuCoach para soporte, membresía, certificaciones y dudas sobre el directorio de coaches en España.",Contacta con EncuentraTuCoach,244,613,204,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/membresia,https://encuentratucoach.es/membresia,https://encuentratucoach.es/membresia,YES,YES,0,14,0.0,60.64,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/membresia,,,Membresía para coaches | EncuentraTuCoach,"Activa tu perfil profesional y capta clientes con una plataforma especializada en coaches, reseñas y visibilidad SEO.",Haz visible tu perfil y capta clientes con una plataforma especializada,771,631,204,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/cristina-torres-dos-santos,https://encuentratucoach.es/coaches/cristina-torres-dos-santos,https://encuentratucoach.es/coaches/cristina-torres-dos-santos,YES,YES,0,12,0.0,4.17,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/cristina-torres-dos-santos,,,Cristina Torres dos Santos | Liderazgo en Madrid | EncuentraTuCoach,Cristina Torres dos Santos ofrece liderazgo en Madrid. Ideal para personas que buscan liderazgo con foco en liderazgo.. Sesiones online y presencial. Precio…,Cristina Torres dos Santos,647,28,12,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/ivanfdez,https://encuentratucoach.es/coaches/ivanfdez/,,YES,NO,0,11,0.0,5.91,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/laura-lopez-gandullo,https://encuentratucoach.es/coaches/laura-lopez-gandullo,https://encuentratucoach.es/coaches/laura-lopez-gandullo,YES,YES,0,11,0.0,16.55,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/laura-lopez-gandullo,,,Laura López Gandullo | Personal en Andalucía | EncuentraTuCoach,Laura López Gandullo ofrece personal en Andalucía. Ideal para personas que buscan personal con foco en empoderamiento.. Sesiones online. Precio desde 45 €. P…,Laura López Gandullo,609,18,7,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/especialidades/carrera/malaga,https://encuentratucoach.es/especialidades/carrera/malaga/,,YES,NO,0,10,0.0,46.4,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/liderar-equipos-remotos-practicas-y-rutinas-de-coaching-para-managers,https://encuentratucoach.es/liderar-equipos-remotos-practicas-y-rutinas-de-coaching-para-managers/,,YES,NO,0,10,0.0,5.2,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/bono-de-sesiones-de-coaching-cuando-compensa-y-como-elegir-el-plan-adecuado,https://encuentratucoach.es/bono-de-sesiones-de-coaching-cuando-compensa-y-como-elegir-el-plan-adecuado/,,YES,NO,0,9,0.0,18.67,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/buscar-coach-en-bilbao,https://encuentratucoach.es/buscar-coach-en-bilbao/,,YES,NO,0,9,0.0,80.78,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/iryna-dzhohola,https://encuentratucoach.es/coaches/iryna-dzhohola,https://encuentratucoach.es/coaches/iryna-dzhohola,YES,YES,0,9,0.0,5.67,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/iryna-dzhohola,,,Iryna Dzhohola | Carrera en barcelona | EncuentraTuCoach,Iryna Dzhohola ofrece carrera en barcelona. Ideal para personas que buscan carrera con objetivos claros y seguimiento.. Sesiones presencial. Precio desde 60…,Iryna Dzhohola,588,20,8,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/maria-becerril,https://encuentratucoach.es/coaches/maria-becerril,https://encuentratucoach.es/coaches/maria-becerril,YES,YES,0,9,0.0,6.11,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/maria-becerril,,,María Becerril | Health Coaching en España | EncuentraTuCoach,María Becerril ofrece health coaching en España. Ideal para personas que buscan health coaching con foco en bienestar psicológico. cambio de hábitos.. Sesion…,María Becerril,857,12,4,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaching-de-carrera-profesional-como-elegir-rumbo-cambiar-de-trabajo-y-negociar,https://encuentratucoach.es/coaching-de-carrera-profesional-como-elegir-rumbo-cambiar-de-trabajo-y-negociar/,,YES,NO,0,9,0.0,13.89,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/muchas_gracias,https://encuentratucoach.es/muchas_gracias/,,YES,NO,0,9,0.0,5.67,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/pregunta-a-un-coach/como-se-si-necesito-un-coach,https://encuentratucoach.es/pregunta-a-un-coach/como-se-si-necesito-un-coach/,,YES,NO,0,9,0.0,39.11,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/cristina-recouso,https://encuentratucoach.es/coaches/cristina-recouso,https://encuentratucoach.es/coaches/cristina-recouso,YES,YES,0,8,0.0,5.0,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/cristina-recouso,,,Cristina Recouso | Personal en barcelona | EncuentraTuCoach,Cristina Recouso ofrece personal en barcelona. Ideal para personas que buscan personal con foco en me especializo en coaching personal (vida).. Sesiones onli…,Cristina Recouso,671,23,10,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/michelle-rodriguez,https://encuentratucoach.es/coaches/michelle-rodriguez,https://encuentratucoach.es/coaches/michelle-rodriguez,YES,YES,0,8,0.0,5.38,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/michelle-rodriguez,,,Michelle Rodriguez | Bienestar en Madrid | EncuentraTuCoach,Michelle Rodriguez ofrece bienestar en Madrid. Ideal para personas que buscan bienestar con foco en crecimiento laboral.. Sesiones online. Precio desde 45 €.…,Michelle Rodriguez,702,79,38,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/nadin-torres-garrido,https://encuentratucoach.es/coaches/nadin-torres-garrido,https://encuentratucoach.es/coaches/nadin-torres-garrido,YES,YES,0,8,0.0,7.38,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/nadin-torres-garrido,,,Nadin Torres Garrido | Mujeres Emprendedoras en barcelona | EncuentraTuCoach,Nadin Torres Garrido ofrece mujeres emprendedoras en barcelona. Ideal para personas que buscan mujeres emprendedoras con foco en coaching transpersonal.. Ses…,Nadin Torres Garrido,1048,20,8,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/laura-ortiz-garcia,https://encuentratucoach.es/coaches/laura-ortiz-garcia,https://encuentratucoach.es/coaches/laura-ortiz-garcia,YES,YES,0,7,0.0,6.86,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/laura-ortiz-garcia,,,Laura Ortiz García | Personal en Valencia | EncuentraTuCoach,Laura Ortiz García ofrece personal en Valencia. Ideal para personas que buscan personal con foco en coaching personal.. Sesiones online. Precio desde 50 €. P…,Laura Ortiz García,944,22,9,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/tania-perez,https://encuentratucoach.es/coaches/tania-perez/,https://encuentratucoach.es/coaches/tania-perez,YES,YES,0,7,0.0,7.29,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/tania-perez,,,Tania Pérez | Carrera en Madrid | EncuentraTuCoach,Tania Pérez ofrece carrera en Madrid. Ideal para personas que buscan carrera con foco en cambio de carrera y orientación laboral general.. Sesiones online. P…,Tania Pérez,715,22,9,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/mi-cuentaa/login,https://encuentratucoach.es/mi-cuentaa/login/,,YES,NO,0,7,0.0,12.57,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
